month,rice,muskmelon,maize,lentil,blackgram,mango,pigeonpeas,orange,coconut,chickpea,coffee,papaya,mungbean,mothbeans,apple,kidneybeans,pomegranate,cotton,Jute,grapes,banana,watermelon
2022-01-01,3568.0,2461.0,1642.0,2065.0,5100.0,6324.0,5998.0,7561.0,8039.0,5426.0,12838.0,3622.0,5526.0,5721.0,9641.0,4442.0,4735.0,5453.0,5380.0,3515.0,1182.0,2899.0
2022-02-01,3541.0,2525.0,1632.0,2071.0,5200.0,6716.0,6148.0,7712.0,8192.0,5518.0,13865.0,3866.0,5535.0,5729.0,9496.0,4774.0,5320.0,5666.0,5874.0,3481.0,1066.0,3543.0
2022-03-01,3551.0,2528.0,1606.0,2079.0,5225.0,6617.0,6271.0,7832.0,8215.0,5603.0,13814.0,3904.0,5498.0,6413.0,9369.0,5249.0,5344.0,5674.0,6207.0,3488.0,972.0,1690.0
2022-04-01,3568.0,2505.0,1640.0,2143.0,5546.0,6758.0,6581.0,7975.0,8256.0,5502.0,13392.0,4283.0,6158.0,6721.0,9644.0,6125.0,5842.0,5717.0,6416.0,3545.0,1195.0,1438.0
2022-05-01,3538.0,2520.0,1650.0,2151.0,5490.0,6781.0,6695.0,8225.0,8436.0,5394.0,12866.0,4430.0,6418.0,6794.0,9514.0,6512.0,5731.0,5871.0,6627.0,3552.0,1277.0,1757.0
2022-06-01,3573.0,2474.0,1690.0,2143.0,5423.0,6535.0,6531.0,7696.0,7953.0,5241.0,12586.0,4435.0,6356.0,6923.0,9200.0,6396.0,5013.0,6193.0,7063.0,3518.0,1300.0,2202.0
2022-07-01,3564.0,2363.0,1725.0,2059.0,5405.0,6492.0,6748.0,7295.0,7627.0,5488.0,12128.0,4314.0,6822.0,6974.0,9322.0,8100.0,5474.0,6550.0,6173.0,3510.0,1303.0,2162.0
2022-08-01,3570.0,2367.0,1782.0,2093.0,5526.0,6628.0,7141.0,7456.0,7729.0,5499.0,12320.0,4660.0,7053.0,6940.0,9588.0,7988.0,5563.0,6673.0,5951.0,3622.0,1323.0,2106.0
2022-09-01,3590.0,2313.0,1798.0,2138.0,5564.0,6715.0,7688.0,7457.0,7871.0,5383.0,11880.0,4677.0,7480.0,6831.0,9891.0,6805.0,5137.0,6660.0,5956.0,3784.0,1309.0,2082.0
2022-10-01,3619.0,2212.0,1797.0,2190.0,5467.0,6633.0,7858.0,7596.0,7708.0,5403.0,11999.0,4762.0,7557.0,7099.0,10232.0,5481.0,5133.0,7665.0,6237.0,3843.0,1626.0,2846.0
2022-11-01,3637.0,2258.0,1817.0,2207.0,5482.0,6495.0,7940.0,7505.0,7694.0,5553.0,12231.0,5296.0,7644.0,7261.0,10640.0,6277.0,5197.0,7702.0,6244.0,3789.0,1669.0,2627.0
2022-12-01,3650.0,2355.0,1837.0,2213.0,5360.0,6400.0,7785.0,7350.0,7637.0,5539.0,11454.0,5553.0,7369.0,7439.0,10458.0,6395.0,5092.0,8097.0,6265.0,3755.0,1300.0,2595.0
2023-01-01,3675.0,2430.0,1891.0,2228.0,5440.0,6520.0,7800.0,7464.0,7539.0,5708.0,10839.0,5373.0,7368.0,7464.0,9620.0,6316.0,5322.0,8943.0,6319.0,3749.0,1241.0,2536.0
