"SI. No.
THE",Commodities AN,January,February,March,April,May,June,July,"August
3RR",September,"October
319gar","November
199R","December
factor"
,,,,,,,,,,,,,
1,Paddy ET,1816,1806,1802,1785,1748,1727,1730,1753,1774,1886,1910,1910
2,rice,3568,3541,3551,3568,3538,3573,3564,3570,3590,3619,3637,3650
3,Bajra TERR,1658,1642,1647,1642,1654,1672,1716,1793,1797,1842,1945,1992
4,Barley,1728,1764,1704,1791,1735,1826,1849,1923,1983,2053,2095,2185
5,muskmelon,2461,2525,2528,2505,2520,2474,2363,2367,2313,2212,2258,2355
6,maize,1642,1632,1606,1640,1650,1690,1725,1782,1798,1797,1817,1837
7,Ragi,2822,2890,2916,2918,2903,2876,2917,2886,2820,2823,2883,2951
8,lentil,2065,2071,2079,2143,2151,2143,2059,2093,2138,2190,2207,2213
9,blackgram,5100,5200,5225,5546,5490,5423,5405,5526,5564,5467,5482,5360
10,mango,6324,6716,6617,6758,6781,6535,6492,6628,6715,6633,6495,6400
11,pigeonpeas,5998,6148,6271,6581,6695,6531,6748,7141,7688,7858,7940,7785
12,orange,7561,7712,7832,7975,8225,7696,7295,7456,7457,7596,7505,7350
13,coconut,8039,8192,8215,8256,8436,7953,7627,7729,7871,7708,7694,7637
14,chickpea,5426,5518,5603,5502,5394,5241,5488,5499,5383,5403,5553,5539
15,coffee,12838,13865,13814,13392,12866,12586,12128,12320,11880,11999,12231,11454
16,papaya,3622,3866,3904,4283,4430,4435,4314,4660,4677,4762,5296,5553
17,mungbean,5526,5535,5498,6158,6418,6356,6822,7053,7480,7557,7644,7369
18,mothbeans,5721,5729,6413,6721,6794,6923,6974,6940,6831,7099,7261,7439
19,apple,9641,9496,9369,9644,9514,9200,9322,9588,9891,10232,10640,10458
20,kidneybeans,4442,4774,5249,6125,6512,6396,8100,7988,6805,5481,6277,6395
21,pomegranate,4735,5320,5344,5842,5731,5013,5474,5563,5137,5133,5197,5092
22,cotton,5453,5666,5674,5717,5871,6193,6550,6673,6660,7665,7702,8097
23,Jute,5380,5874,6207,6416,6627,7063,6173,5951,5956,6237,6244,6265
24,grapes,3515,3481,3488,3545,3552,3518,3510,3622,3784,3843,3789,3755
25,banana,1182,1066,972,1195,1277,1300,1303,1323,1309,1626,1669,1300
26,watermelon,2899,3543,1690,1438,1757,2202,2162,2106,2082,2846,2627,2595
27,Tomato CHICK,1217,1208,1053,1061,1178,1489,2061,1890,1775,3332,4505,3368
