"SI. No.
THE HCT",Commodities AN,January,February,March,"April
30",May,June,July,"August
30Rd",September Rider,October,"November
TOOR","December
PARISR"
,,,,,,,,,,,,,
1,Paddy ET,1881,1887,1888,1878,1869,1895,1902,1954,1994,2045,2093,2151
2,Rice,3675,3673,3680,3699,3695,3729,3800,3862,3965,3996,4011,4001
3,Bajra TERR,2020,2050,2179,2282,2274,2303,2348,2449,2278,2345,2465,2537
4,Barley,2194,2228,2267,2552,2592,2611,2600,2685,2618,2639,2674,2668
5,muskmelon,2430,2456,2503,2610,2630,2659,2770,2811,2801,2835,3126,3238
6,Maize,1891,1947,2052,2131,2146,2138,2180,2251,2221,2180,2225,2285
7,Ragi,2934,2993,3038,2963,3015,2925,2888,2823,2750,2736,2798,2806
8,lentil,2228,2230,2339,2384,2352,2316,2409,2486,2516,2570,2719,2812
9,blackgram,5440,5406,5457,5354,5265,5239,5308,5368,5282,5302,5313,5346
10,mothbeans,6520,6529,6500,6411,6279,6317,6755,6900,6842,7146,6945,6974
11,pigeonpeas,7800,7693,7652,7672,7601,7465,7580,7571,7315,7332,7379,7404
12,orange,7464,7392,7436,7535,7365,7278,7399,7401,7438,7520,7708,7661
13,coconut,7539,7442,7618,7611,7412,7625,7549,7744,7916,7816,7947,8044
14,chickpea,5708,5707,5764,5849,5959,5948,6063,6161,6146,6065,6076,6316
15,coffee,10839,11348,11158,11274,10681,10153,10169,10131,10100,10174,10326,10021
16,papaya,5373,4838,5212,4919,4758,4548,4636,4884,4843,4909,4942,5167
17,mungbean,7368,7316,7182,7214,7101,6980,6893,6841,6641,6667,6716,6655
18,mothbeans,7464,7546,7524,6787,6986,6708,7350,7231,7238,7415,7374,7581
19,apple,9620,9868,9875,10041,10019,9743,10325,10655,10783,10905,11532,11776
20,kidneybeans,6316,6756,7130,7135,6655,6310,6005,5668,4744,4849,5347,5516
21,pomegranate,5322,6084,6670,6376,6029,5564,5542,5808,4892,5311,5232,5268
22,Cotton (Kapas) PICH (),8943,9145,9321,10259,10604,9850,8915,9670,8347,8148,8536,7984
23,Jute Raw,6319,6345,6322,6367,6315,6208,6079,5914,6095,5874,5724,5641
24,grapes,3749,3709,3677,3721,3714,3714,3727,3773,3784,3795,3786,3771
25,papaya,1241,1230,1335,1397,1632,1814,1989,2057,2029,2172,1807,1486
26,watermelon,2536,2649,1805,1413,1326,1591,1618,1673,1623,2084,1945,1911
27,Tomato CHICK,1889,1450,1255,2088,4270,3866,1898,1937,2976,3102,1639,1228
