label,order,RMSE
rice,"(4, 1, 3)",23.162795279251416
muskmelon,"(2, 2, 2)",109.81667871751208
maize,"(2, 1, 4)",33.08667115693101
lentil,"(1, 2, 0)",70.67785483493108
blackgram,"(1, 2, 5)",23.06790611826413
mango,"(1, 1, 0)",117.61058949498666
pigeonpeas,"(3, 0, 1)",106.72944304034742
orange,"(3, 2, 5)",92.22889041489556
coconut,"(2, 0, 3)",57.08502030315635
chickpea,"(2, 1, 2)",72.01332326724794
coffee,"(0, 1, 0)",93.7932122632905
papaya,"(1, 2, 5)",75.4594849080467
mungbean,"(2, 1, 5)",52.78449471230131
mothbeans,"(0, 1, 0)",118.93065206245193
apple,"(4, 2, 0)",230.7060820121189
kidneybeans,"(0, 2, 1)",435.5505828217112
pomegranate,"(3, 2, 1)",251.26296456675644
cotton,"(0, 1, 4)",399.1952862132291
Jute,"(2, 1, 2)",109.48712993480305
grapes,"(0, 2, 0)",19.752636954762945
banana,"(1, 1, 2)",210.2284066884826
watermelon,"(1, 2, 0)",146.7771785193695
